edgeID,startNode,endNode
eEXIT00201_eWALK01001,eEXIT00201,eWALK01001
eEXIT00301_eWALK01101,eEXIT00301,eWALK01101
ePARK00101_eWALK00101,ePARK00101,eWALK00101
ePARK00201_eWALK00101,ePARK00201,eWALK00101
ePARK00301_eWALK00101,ePARK00301,eWALK00101
ePARK00401_eWALK00101,ePARK00401,eWALK00101
ePARK00501_eWALK00101,ePARK00501,eWALK00101
eWALK00101_eWALK00201,eWALK00101,eWALK00201
ePARK00601_eWALK00201,ePARK00601,eWALK00201
ePARK00701_eWALK00201,ePARK00701,eWALK00201
ePARK00801_eWALK00201,ePARK00801,eWALK00201
ePARK00901_eWALK00201,ePARK00901,eWALK00201
ePARK01001_eWALK00201,ePARK01001,eWALK00201
eWALK00201_eWALK00301,eWALK00201,eWALK00301
eWALK00301_eWALK00401,eWALK00301,eWALK00401
eWALK00401_eWALK00501,eWALK00401,eWALK00501
eWALK00401_eWALK00601,eWALK00401,eWALK00601
eWALK00601_eWALK00701,eWALK00601,eWALK00701
eWALK00701_eWALK01001,eWALK00701,eWALK01001
eWALK00701_eWALK00801,eWALK00701,eWALK00801
eWALK00801_eWALK00901,eWALK00801,eWALK00901
eWALK00901_eWALK01101,eWALK00901,eWALK01101
eWALK01001_eWALK01101,eWALK01001,eWALK01101
eWALK00801_eWALK01201,eWALK00801,eWALK01201
eWALK01201_eWALK01301,eWALK01201,eWALK01301
eWALK01301_eWALK01401,eWALK01301,eWALK01401
eWALK01401_eWALK01501,eWALK01401,eWALK01501
ePARK01801_eWALK01501,ePARK01801,eWALK01501
ePARK01901_eWALK01501,ePARK01901,eWALK01501
ePARK02001_eWALK01501,ePARK02001,eWALK01501
ePARK02101_eWALK01501,ePARK02101,eWALK01501
eWALK01301_eWALK01601,eWALK01301,eWALK01601
ePARK01801_eWALK01601,ePARK01801,eWALK01601
ePARK01701_eWALK01601,ePARK01701,eWALK01601
eWALK01601_eWALK01701,eWALK01601,eWALK01701
ePARK01101_eWALK01701,ePARK01101,eWALK01701
ePARK01201_eWALK01701,ePARK01201,eWALK01701
ePARK01301_eWALK01701,ePARK01301,eWALK01701
ePARK01401_eWALK01701,ePARK01401,eWALK01701
ePARK01501_eWALK01701,ePARK01501,eWALK01701
ePARK01601_eWALK01701,ePARK01601,eWALK01701
ePARK01701_eWALK01701,ePARK01701,eWALK01701
eWALK01601_eWALK01801,eWALK01601,eWALK01801
ePARK01701_eWALK01801,ePARK01701,eWALK01801
ePARK01801_eWALK01801,ePARK01801,eWALK01801
ePARK01901_eWALK01801,ePARK01901,eWALK01801
ePARK02001_eWALK01801,ePARK02001,eWALK01801
ePARK02101_eWALK01801,ePARK02101,eWALK01801
ePARK02201_eWALK01801,ePARK02201,eWALK01801
ePARK02301_eWALK01801,ePARK02301,eWALK01801
ePARK02401_eWALK01801,ePARK02401,eWALK01801
ePARK02501_eWALK01801,ePARK02501,eWALK01801
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
_,,
_,,
